"MachineName","DisplayName","Status","StartType"
"LASSANMGR","Application Experience","Stopped","Manual"
"LASSANMGR","Application Layer Gateway Service","Stopped","Manual"
"LASSANMGR","Application Identity","Stopped","Manual"
"LASSANMGR","Application Information","Stopped","Manual"
"LASSANMGR","Application Management","Stopped","Manual"
"LASSANMGR","ASP.NET State Service","Stopped","Manual"
"LASSANMGR","Windows Audio Endpoint Builder","Stopped","Manual"
"LASSANMGR","Windows Audio","Stopped","Manual"
"LASSANMGR","Base Filtering Engine","Running","Automatic"
"LASSANMGR","Background Intelligent Transfer Service","Running","Manual"
"LASSANMGR","Computer Browser","Stopped","Disabled"
"LASSANMGR","Certificate Propagation","Running","Manual"
"LASSANMGR","HP Insight Event Notifier","Stopped","Disabled"
"LASSANMGR","HP Smart Array SAS/SATA Event Notification Service","Running","Automatic"
"LASSANMGR","Microsoft .NET Framework NGEN v2.0.50727_X86","Stopped","Disabled"
"LASSANMGR","Microsoft .NET Framework NGEN v2.0.50727_X64","Stopped","Disabled"
"LASSANMGR","Microsoft .NET Framework NGEN v4.0.30319_X86","Stopped","Automatic"
"LASSANMGR","Microsoft .NET Framework NGEN v4.0.30319_X64","Stopped","Automatic"
"LASSANMGR","COM+ System Application","Stopped","Manual"
"LASSANMGR","HP Insight NIC Agents","Running","Automatic"
"LASSANMGR","HP ProLiant Remote Monitor Service","Running","Automatic"
"LASSANMGR","HP Version Control Agent","Running","Automatic"
"LASSANMGR","HP Insight Foundation Agents","Running","Automatic"
"LASSANMGR","HP Insight Server Agents","Running","Automatic"
"LASSANMGR","HP Insight Storage Agents","Running","Automatic"
"LASSANMGR","Cryptographic Services","Running","Automatic"
"LASSANMGR","Offline Files","Stopped","Disabled"
"LASSANMGR","DCOM Server Process Launcher","Running","Automatic"
"LASSANMGR","Disk Defragmenter","Stopped","Manual"
"LASSANMGR","DHCP Client","Running","Automatic"
"LASSANMGR","Diagnostics Tracking Service","Running","Automatic"
"LASSANMGR","DNS Client","Running","Automatic"
"LASSANMGR","Wired AutoConfig","Stopped","Manual"
"LASSANMGR","Diagnostic Policy Service","Running","Automatic"
"LASSANMGR","Extensible Authentication Protocol","Stopped","Manual"
"LASSANMGR","Encrypting File System (EFS)","Stopped","Manual"
"LASSANMGR","Windows Event Log","Running","Automatic"
"LASSANMGR","COM+ Event System","Running","Automatic"
"LASSANMGR","Microsoft Fibre Channel Platform Registration Service","Stopped","Manual"
"LASSANMGR","Function Discovery Provider Host","Stopped","Manual"
"LASSANMGR","Function Discovery Resource Publication","Stopped","Manual"
"LASSANMGR","Windows Font Cache Service","Running","Automatic"
"LASSANMGR","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual"
"LASSANMGR","Group Policy Client","Running","Automatic"
"LASSANMGR","HBase Storage Mgmt Common Service","Running","Automatic"
"LASSANMGR","HBase Storage Mgmt Web Service","Running","Automatic"
"LASSANMGR","Human Interface Device Access","Stopped","Manual"
"LASSANMGR","HiRDB/EmbeddedEdition _HD0","Running","Automatic"
"LASSANMGR","Hi-Track Monitor","Running","Automatic"
"LASSANMGR","Health Key and Certificate Management","Stopped","Manual"
"LASSANMGR","Hitachi Network Objectplaza Trace Monitor 2","Running","Automatic"
"LASSANMGR","Windows CardSpace","Stopped","Manual"
"LASSANMGR","IKE and AuthIP IPsec Keying Modules","Running","Automatic"
"LASSANMGR","PnP-X IP Bus Enumerator","Stopped","Disabled"
"LASSANMGR","IP Helper","Running","Automatic"
"LASSANMGR","CNG Key Isolation","Stopped","Manual"
"LASSANMGR","KtmRm for Distributed Transaction Coordinator","Stopped","Manual"
"LASSANMGR","Server","Running","Automatic"
"LASSANMGR","Workstation","Running","Automatic"
"LASSANMGR","Link-Layer Topology Discovery Mapper","Stopped","Manual"
"LASSANMGR","TCP/IP NetBIOS Helper","Running","Automatic"
"LASSANMGR","Multimedia Class Scheduler","Stopped","Manual"
"LASSANMGR","Windows Firewall","Running","Automatic"
"LASSANMGR","Distributed Transaction Coordinator","Running","Automatic"
"LASSANMGR","Microsoft iSCSI Initiator Service","Stopped","Manual"
"LASSANMGR","Windows Installer","Stopped","Manual"
"LASSANMGR","Network Access Protection Agent","Stopped","Manual"
"LASSANMGR","Netlogon","Running","Automatic"
"LASSANMGR","Network Connections","Running","Manual"
"LASSANMGR","Net.Msmq Listener Adapter","Stopped","Disabled"
"LASSANMGR","Net.Pipe Listener Adapter","Stopped","Disabled"
"LASSANMGR","Network List Service","Running","Manual"
"LASSANMGR","Net.Tcp Listener Adapter","Stopped","Disabled"
"LASSANMGR","Net.Tcp Port Sharing Service","Stopped","Disabled"
"LASSANMGR","Network Location Awareness","Running","Automatic"
"LASSANMGR","Network Store Interface Service","Running","Automatic"
"LASSANMGR","ONC/RPC Portmapper","Running","Automatic"
"LASSANMGR","Performance Counter DLL Host","Stopped","Manual"
"LASSANMGR","Performance Logs & Alerts","Stopped","Manual"
"LASSANMGR","Plug and Play","Running","Automatic"
"LASSANMGR","IPsec Policy Agent","Running","Manual"
"LASSANMGR","Power","Running","Automatic"
"LASSANMGR","User Profile Service","Running","Automatic"
"LASSANMGR","Protected Storage","Stopped","Manual"
"LASSANMGR","QLogic Management Suite Java Agent","Running","Automatic"
"LASSANMGR","Remote Access Auto Connection Manager","Stopped","Manual"
"LASSANMGR","Remote Access Connection Manager","Stopped","Manual"
"LASSANMGR","Routing and Remote Access","Stopped","Disabled"
"LASSANMGR","Remote Registry","Stopped","Manual"
"LASSANMGR","RPC Endpoint Mapper","Running","Automatic"
"LASSANMGR","Remote Procedure Call (RPC) Locator","Stopped","Manual"
"LASSANMGR","Remote Procedure Call (RPC)","Running","Automatic"
"LASSANMGR","Resultant Set of Policy Provider","Stopped","Manual"
"LASSANMGR","Special Administration Console Helper","Stopped","Manual"
"LASSANMGR","Security Accounts Manager","Running","Automatic"
"LASSANMGR","Smart Card","Stopped","Manual"
"LASSANMGR","Task Scheduler","Running","Automatic"
"LASSANMGR","Smart Card Removal Policy","Stopped","Manual"
"LASSANMGR","Secondary Logon","Running","Manual"
"LASSANMGR","System Event Notification Service","Running","Automatic"
"LASSANMGR","Symantec Endpoint Protection","Running","Automatic"
"LASSANMGR","Remote Desktop Configuration","Running","Manual"
"LASSANMGR","Internet Connection Sharing (ICS)","Stopped","Disabled"
"LASSANMGR","Shell Hardware Detection","Stopped","Automatic"
"LASSANMGR","Symantec Auto-upgrade Agent","Stopped","Manual"
"LASSANMGR","Symantec Network Access Control","Stopped","Manual"
"LASSANMGR","SNM2 Server","Running","Automatic"
"LASSANMGR","SNMP Service","Running","Automatic"
"LASSANMGR","SNMP Trap","Stopped","Manual"
"LASSANMGR","Print Spooler","Running","Automatic"
"LASSANMGR","Software Protection","Stopped","Automatic"
"LASSANMGR","SPP Notification Service","Stopped","Manual"
"LASSANMGR","SSDP Discovery","Stopped","Disabled"
"LASSANMGR","Secure Socket Tunneling Protocol Service","Stopped","Manual"
"LASSANMGR","Windows Image Acquisition (WIA)","Stopped","Manual"
"LASSANMGR","Microsoft Software Shadow Copy Provider","Stopped","Manual"
"LASSANMGR","HP ProLiant System Shutdown Service","Running","Automatic"
"LASSANMGR","HP System Management Homepage","Stopped","Disabled"
"LASSANMGR","Tablet PC Input Service","Stopped","Manual"
"LASSANMGR","Telephony","Stopped","Manual"
"LASSANMGR","Remote Desktop Services","Running","Manual"
"LASSANMGR","Themes","Stopped","Disabled"
"LASSANMGR","Thread Ordering Server","Stopped","Manual"
"LASSANMGR","Track-It! Workstation Manager","Running","Automatic"
"LASSANMGR","Distributed Link Tracking Client","Running","Automatic"
"LASSANMGR","Windows Modules Installer","Running","Automatic"
"LASSANMGR","Interactive Services Detection","Stopped","Manual"
"LASSANMGR","Remote Desktop Services UserMode Port Redirector","Running","Manual"
"LASSANMGR","UPnP Device Host","Stopped","Disabled"
"LASSANMGR","Desktop Window Manager Session Manager","Running","Automatic"
"LASSANMGR","Credential Manager","Stopped","Manual"
"LASSANMGR","Virtual Disk","Stopped","Manual"
"LASSANMGR","Symantec Product Authentication Service","Stopped","Automatic"
"LASSANMGR","Volume Shadow Copy","Stopped","Manual"
"LASSANMGR","Windows Time","Running","Manual"
"LASSANMGR","Windows Color System","Stopped","Manual"
"LASSANMGR","Diagnostic Service Host","Stopped","Manual"
"LASSANMGR","Diagnostic System Host","Stopped","Manual"
"LASSANMGR","WebClient","Stopped","Manual"
"LASSANMGR","Windows Event Collector","Stopped","Manual"
"LASSANMGR","Problem Reports and Solutions Control Panel Support","Stopped","Manual"
"LASSANMGR","Windows Error Reporting Service","Stopped","Manual"
"LASSANMGR","Windows Defender","Stopped","Manual"
"LASSANMGR","WinHTTP Web Proxy Auto-Discovery Service","Stopped","Manual"
"LASSANMGR","Windows Management Instrumentation","Running","Automatic"
"LASSANMGR","Windows Remote Management (WS-Management)","Running","Automatic"
"LASSANMGR","WMI Performance Adapter","Stopped","Manual"
"LASSANMGR","Portable Device Enumerator Service","Stopped","Manual"
"LASSANMGR","Windows Update","Running","Automatic"
"LASSANMGR","Windows Driver Foundation - User-mode Driver Framework","Stopped","Manual"
