LASINFRA06 AppName,LASINFRA06 AppVersion
RabbitMQ Server (SolarWinds Distribution),1.1.36.0
SolarWinds Active Diagnostics 1.6.0.26,1.6.0.26
SolarWinds Administration Service,1.0.2092.2
SolarWinds Client Components,2.1.5.6002
SolarWinds Client Components - x64 (2.1.5.6002),2.1.5.6002
SolarWinds Collector v2.13.250,2.13.250.0
SolarWinds DPA Integration Module v11.0,11.0.471.0
SolarWinds HighAvailability,1.1.0.42
SolarWinds HighAvailability Orion Plugin,117.1.0.130
SolarWinds Information Service v2017.1.0.192,117.1.192.0
SolarWinds Job Engine v2.11.0,2.11.276.0
SolarWinds MIBs v1.0.40,1.0.40.0
SolarWinds Orion Core Services 2017.1,117.1.1698.5300
SolarWinds Orion NetPath v1.1.0,1.1.3418.0
SolarWinds Orion Network Atlas v1.16.20,1.16.20.0
SolarWinds Orion Network Performance Monitor v12.1,12.1.5300.0
SolarWinds Orion QoE 2.3.61.0,2.3.61.0
SolarWinds Recommendations v1.1.0,1.1.4358.0
SolarWinds SCP Server,1.0.2.4
SolarWinds Server & Application Monitor v6.4,6.4.1020.0
SolarWinds Virtual Infrastructure Monitor v7.1.0,7.1.4312.0
SolarWinds VoIP and Network Quality Manager 4.4.0,4.4.0.352
