"Server","Path","Version"
"FBV-TECHTR-P01","N/A","Java not found"
"FBV-DEVOPS-P02","N/A","Java not found"
"FBV-PARPA-P01","N/A","Java not found"
"FBV-WBDV-D02","N/A","Java not found"
"FBV-MSDEV-D01","N/A","Java not found"
"FBV-WEBDB-D01","N/A","Java not found"
"FBV-WEBP6-P01","N/A","Java not found"
"FBV-SONQUBE-P01","N/A","Java not found"
"FBV-WBDV-D03","N/A","Java not found"
"FBV-UIPATH-P01","N/A","Java not found"
"FBV-WBDV17-D01","N/A","Java not found"
"FBV-ENTAPP-P01","N/A","Java not found"
"FBV-ENTAPP-D01","N/A","Java not found"
"FBV-WEBAPPS-Q01","N/A","Java not found"
"FBV-UIINSIG-P01","N/A","Java not found"
"FBV-UIROBO-P01","N/A","Java not found"
"FBV-UIPATH-D01","N/A","Java not found"
"FBV-UIROBO-D01","N/A","Java not found"
"FBV-UIINSIG-D01","N/A","Java not found"
"FBV-UIPSQL-D01","N/A","Java not found"
"FBV-UIPWKS-D01","N/A","Java not found"
"FBV-WEBAPPS-D01","N/A","Java not found"
"FBV-WBDV20-D01","N/A","Java not found"
"FBV-ASUST-P01","N/A","Java not found"
"FBV-SPWFESS-D02","N/A","Java not found"
"FBV-SPAPPSS-D01","N/A","Java not found"
"FBV-SPWFESS-T01","N/A","Java not found"
"FBV-SPWFESS-T02","N/A","Java not found"
"FBV-SPAPPSS-T01","N/A","Java not found"
"FBV-SPSRCSS-T01","N/A","Java not found"
"FBV-SPWFESS-D01","N/A","Java not found"
"FBV-SPWFESS-P01","N/A","Java not found"
"FBV-SPWFESS-P02","N/A","Java not found"
"FBV-SPSRCSS-D01","N/A","Java not found"
"FBV-SPAPPSS-P01","N/A","Java not found"
"FBV-SPSRCSS-P01","N/A","Java not found"
"FBV-DOCAVE2-P01","N/A","Java not found"
"FBV-WEBD3-D01","N/A","Java not found"
"FBV-WEBP6-P02","N/A","Java not found"
"FBV-MSDEV-D02","N/A","Java not found"
"FBV-WBDV-D04","N/A","Java not found"
"FBV-SCORINT-D01","N/A","Java not found"
"FBV-SCORDEV-D01","N/A","Java not found"
"FBV-SCORDEV-D08","N/A","Java not found"
"FBV-SCORDEV-D12","N/A","Java not found"
"FBV-SCORDEV-D14","N/A","Java not found"
"FBV-SCORINT-D02","N/A","Java not found"
"FBV-SCSLR10-T01","N/A","Java not found"
"FBV-SCSLR10-T02","N/A","Java not found"
"FBV-SCRCM10-T01","N/A","Java not found"
"FBV-SCRCD10-T01","N/A","Java not found"
"FBV-SCRCD10-T02","N/A","Java not found"
"FBV-SCRXC10-T01","N/A","Java not found"
"FBV-SCSLR10-P01","N/A","Java not found"
"FBV-SCSLR10-P02","N/A","Java not found"
"FBV-SCRCM10-P01","N/A","Java not found"
"FBV-SCRCD10-P02","N/A","Java not found"
"FBV-SCRXC10-P01","N/A","Java not found"
"FBV-SCSLR10-T03","N/A","Java not found"
"FBV-SCSLR10-T04","N/A","Java not found"
"FBV-SCSLR10-P03","N/A","Java not found"
"FBV-SCSLR10-P04","N/A","Java not found"
"FBV-SCRCD10-P01","N/A","Java not found"
"FBV-SCRCD10-P03","N/A","Java not found"
"FBV-SCRCD10-P04","N/A","Java not found"
