"Username","Status","LastLogon"
"ASCScheduler","Active","2/6/2024 11:02 AM"
"KSC-KelseyCare Benefits","Active","2/6/2024 11:02 AM"
"KSC-PFA_NON_PROD_DB","Active","2/6/2024 11:02 AM"
"KSC-PFA_PROD_DB","Active","2/6/2024 11:02 AM"
"KSC-RxRefill","Active","2/6/2024 11:02 AM"
"NewProvReq","Active","12/12/2023 3:56 PM"
"SCORDBDAdmin","Active","12/12/2023 3:56 PM"
"SCORDBPAdmin","Active","12/12/2023 3:56 PM"
"SCORDBTAdmin","Active","12/12/2023 3:56 PM"
"Sa5DocAveAgent","Active","4/1/2025 4:48 PM"
"aa1SP2013_UAT_Admin","Active","2/28/2025 10:40 AM"
"aa1SP2013x_UAT_Admin","Active","2/28/2025 10:42 AM"
"aa1SPDAdmin","Active","3/29/2025 5:01 AM"
"aa1SPLookup","Active","3/31/2025 12:29 PM"
"aa1SPSE_Admin","Active","3/28/2025 9:08 AM"
"aa1SPSE_UAT_Admin","Active","3/25/2025 10:41 AM"
"aa1SPSEx_Admin","Active","8/2/2023 2:03 PM"
"aa1SpEmpAppr","Active","3/28/2025 6:57 AM"
"ck7eBiz","Active","8/22/2018 1:28 AM"
"nosupervisor-kars","Active","12/13/2023 8:41 AM"
"s90221","Active","9/21/2023 1:43 PM"
"s90222","Active","5/1/2023 10:36 AM"
"s90255","Active","3/28/2025 12:18 PM"
"s90256","Active","3/26/2025 2:39 PM"
"s90257","Active","3/28/2025 10:00 PM"
"s90257","Active","3/28/2025 10:00 PM"
"s90258","Active","11/13/2024 11:44 AM"
"s90259","Active","3/26/2025 12:14 AM"
"s90260","Active","3/29/2025 12:10 PM"
"s90261","Active","6/13/2022 9:55 AM"
"s90262","Active","6/17/2024 1:12 PM"
"s90294","Active","4/1/2025 11:00 AM"
"s90420","Active","3/24/2025 7:00 AM"
"s90476","Active","4/1/2025 10:44 AM"
"s90477","Active","3/7/2025 8:46 AM"
"s90478","Active","3/7/2025 8:47 AM"
"s90479","Active","3/7/2025 8:49 AM"
"s90480","Active","3/20/2025 10:30 AM"
"sa5SPDAppPool","Active","2/23/2025 4:31 AM"
"sa5SPDFarm","Active","3/25/2025 2:06 PM"
"sa5SPDSQLServices","Active","3/30/2025 10:13 PM"
"sa5SPDSearch","Active","3/18/2025 2:11 AM"
"sa5SPDServices","Active","3/11/2025 11:57 PM"
"sa5SPDUPS","Active","3/11/2025 11:57 PM"
"sa5SPSE_C2WTS","Active","3/26/2025 12:24 AM"
"sa5SPSE_CacheSRead","Active","9/28/2023 1:43 PM"
"sa5SPSE_CacheSuper","Active","9/29/2023 1:43 PM"
"sa5SPSE_Crawl","Active","3/31/2025 9:29 AM"
"sa5SPSE_ExcelUser","Active","9/29/2023 1:43 PM"
"sa5SPSE_Farm","Active","3/28/2025 9:44 AM"
"sa5SPSE_MySites","Active","9/29/2023 1:43 PM"
"sa5SPSE_Performanc","Active","9/29/2023 1:43 PM"
"sa5SPSE_Pool","Active","3/31/2025 6:25 AM"
"sa5SPSE_Search","Active","3/25/2025 9:38 PM"
"sa5SPSE_Services","Active","3/24/2025 3:00 PM"
"sa5SPSE_UAT_C2WTS","Active","3/27/2025 11:00 AM"
"sa5SPSE_UAT_CacheR","Active","8/4/2023 10:06 AM"
"sa5SPSE_UAT_CacheS","Active","8/4/2023 10:07 AM"
"sa5SPSE_UAT_Crawl","Active","2/28/2025 10:48 AM"
"sa5SPSE_UAT_ExcelU","Active","8/4/2023 10:15 AM"
"sa5SPSE_UAT_Farm","Active","3/30/2025 6:00 PM"
"sa5SPSE_UAT_MySite","Active","8/4/2023 10:16 AM"
"sa5SPSE_UAT_Perfor","Active","8/4/2023 10:17 AM"
"sa5SPSE_UAT_Pool","Active","3/29/2025 11:07 AM"
"sa5SPSE_UAT_Search","Active","3/27/2025 10:02 AM"
"sa5SPSE_UAT_Servic","Active","3/26/2025 4:41 PM"
"sa5SPSE_UAT_UserPr","Active","8/4/2023 10:19 AM"
"sa5SPSE_UserProfil","Active","9/30/2023 1:43 PM"
"sa5SPSEx_C2WTS","Active","7/14/2023 4:08 PM"
"sa5SPSEx_CacheSRea","Active","7/14/2023 4:09 PM"
"sa5SPSEx_CacheSUse","Active","7/14/2023 4:08 PM"
"sa5SPSEx_Crawl","Active","7/14/2023 4:09 PM"
"sa5SPSEx_ExcelUser","Active","7/14/2023 4:09 PM"
"sa5SPSEx_Farm","Active","7/14/2023 4:08 PM"
"sa5SPSEx_Performan","Active","7/14/2023 4:10 PM"
"sa5SPSEx_Pool","Active","7/14/2023 4:10 PM"
"sa5SPSEx_Search","Active","7/14/2023 4:10 PM"
"sa5SPSEx_Services","Active","7/14/2023 4:10 PM"
"sa5SPSEx_UserProfil","Active","7/14/2023 4:11 PM"
"sa5SharePointAD","Active","3/29/2025 4:29 AM"
"techtrng","Active","2/6/2024 11:06 AM"
"v80013","Active","3/31/2025 11:59 PM"
"v80013","Active","3/31/2025 11:59 PM"
"v80014","Active","3/13/2025 1:19 PM"
"v80016","Active","2/6/2025 3:58 PM"
"v80017","Active","3/30/2025 1:11 PM"
"v80019","Active","3/31/2025 9:38 AM"
